text,interview_id,theme,sentiment
"I'm 21 years old, and I'm a engineering student / young professional",interview_01,Other,neutral
I've been trying to get better at managing my tasks and projects,interview_01,Other,positive
"Oh yes, I've tried so many",interview_01,Tool Hopping Behavior,neutral
"Todoist, ClickUp, Asana",interview_01,Other,neutral
probably more that I'm forgetting,interview_01,Other,neutral
I'm always looking for the 'perfect' system,interview_01,Tool Hopping Behavior,positive
"I spend hours watching YouTube tutorials and setting things up, but somehow I never stick with any of them for more than a couple weeks",interview_01,Setup Fatigue,neutral
"Like, I spend so much time organizing and reorganizing that I barely get any actual work done",interview_01,Other,neutral
"And then I see all these unfinished tasks piling up, and it feels overwhelming",interview_01,Feature Overwhelm,negative
So I think 'maybe this tool isn't right for me' and I try another one,interview_01,Tool Hopping Behavior,neutral
"Well, then I start using it, and I realize there are all these features I didn't even know existed",interview_01,Feature Overwhelm,neutral
"Pop-ups telling me about databases, templates, integrations, AI features",interview_01,Feature Overwhelm,neutral
"I feel like I should be using all these advanced features to be 'productive,' but I don't even understand what half of them do",interview_01,Feature Overwhelm,neutral
ignore them and stick to basic task lists,interview_01,Other,neutral
Maybe 5-10% of what the tool can do,interview_01,Other,neutral
Which makes me wonder why I'm even using this complex tool when I could just use a simpler one,interview_01,Feature Overwhelm,neutral
"But everyone says these advanced tools are 'better,' so I feel like I should figure them out",interview_01,Social Comparison Anxiety,positive
I think I need something that just,interview_01,Other,neutral
"Show me three things to do today, that's it",interview_01,Other,neutral
Don't give me a hundred options until I ask for them,interview_01,Feature Overwhelm,neutral
And maybe guide me through setup instead of throwing me into an empty workspace,interview_01,Setup Fatigue,neutral
"Like, 'here's your first task, let's add it together",interview_01,Other,neutral
' Make it feel less like I'm building a system and more like I'm just getting started,interview_01,Setup Fatigue,neutral
"Start with the absolute basics—just tasks—and then as I use it, maybe introduce ONE new feature at a time",interview_01,Other,neutral
"'Hey, looks like you're using this a lot, would tags help you",interview_01,Other,positive
"The tool should feel like a partner, not a judge",interview_01,Productivity Guilt,negative
"Maybe hide completed tasks by default so I see what I've accomplished, not what I haven't",interview_01,Other,positive
"Or limit how many tasks I can see at once—like, force me to focus on three things instead of showing me all 50",interview_01,Prioritization Difficulty,neutral
Sometimes constraints are actually freeing,interview_01,Other,neutral
please make something that doesn't make people feel stupid or inadequate,interview_01,Productivity Guilt,neutral
That's the biggest thing,interview_01,Other,neutral
"Productivity tools should empower you, not make you feel worse about yourself",interview_01,Social Comparison Anxiety,neutral
─────────────────────────────────────────────────────────────,interview_01,Other,neutral
"I'm 27 years old, and I'm a creative professional / graduate student",interview_02,Other,neutral
I've been trying to get better at managing my tasks and projects,interview_02,Other,positive
"I've tried Asana, Evernote, but honestly",interview_02,Tool Hopping Behavior,neutral
I always go back to pen and paper,interview_02,Other,neutral
There's something about writing things down by hand that just works better for my brain,interview_02,Other,positive
Digital tools feel so,interview_02,Other,neutral
"I tried using Notion for a few weeks because everyone at work uses it, but I found myself constantly switching between the app and my notebook",interview_02,Tool Hopping Behavior,neutral
Eventually I just gave up on the digital stuff,interview_02,Tool Hopping Behavior,neutral
"The digital tools just don't have that flexibility, you know",interview_02,Other,neutral
"With a notebook, I can doodle, draw arrows, cross things out violently when I'm frustrated—it's more human",interview_02,Other,negative
"Plus, I don't have to worry about which template to use or how to structure everything",interview_02,Lack of Flexibility,neutral
It's liberating compared to all those menus and buttons and settings,interview_02,Feature Overwhelm,positive
"So I download the app, create an account, and then",interview_02,Other,neutral
"It's like, 'okay, now what",interview_02,Other,neutral
' I usually end up watching a 30-minute YouTube tutorial just to understand the basics,interview_02,Setup Fatigue,neutral
Then I spend another hour or two trying to recreate what I saw in the video,interview_02,Other,neutral
"By the time I'm done setting it up, I'm mentally exhausted and I haven't actually DONE anything productive yet",interview_02,Other,negative
I'm never sure if I set it up 'correctly,interview_02,Other,neutral
"' Like, am I using the right template",interview_02,Setup Fatigue,neutral
Should I use tags or folders,interview_02,Social Comparison Anxiety,neutral
Should I create separate workspaces for work and personal,interview_02,Context Switching,neutral
"There's no right answer, so I keep second-guessing myself",interview_02,Other,neutral
"Well, then I start using it, and I realize there are all these features I didn't even know existed",interview_02,Feature Overwhelm,neutral
"Pop-ups telling me about databases, templates, integrations, AI features",interview_02,Feature Overwhelm,neutral
"I feel like I should be using all these advanced features to be 'productive,' but I don't even understand what half of them do",interview_02,Feature Overwhelm,neutral
ignore them and stick to basic task lists,interview_02,Other,neutral
Maybe 5-10% of what the tool can do,interview_02,Other,neutral
Which makes me wonder why I'm even using this complex tool when I could just use a simpler one,interview_02,Feature Overwhelm,neutral
"But everyone says these advanced tools are 'better,' so I feel like I should figure them out",interview_02,Social Comparison Anxiety,positive
"Honestly, I might never fully switch from paper",interview_02,Context Switching,neutral
"But if a digital tool could give me the flexibility of paper—like, not force me into rigid structures—I might use it alongside my notebook",interview_02,Lack of Flexibility,neutral
Maybe for things that need reminders or sharing with others,interview_02,Other,neutral
Less 'you must use our system' and more 'use it however makes sense to you,interview_02,Lack of Flexibility,neutral
' Don't make me choose between 10 template types,interview_02,Setup Fatigue,neutral
Just give me a blank space and let me write,interview_02,Other,neutral
"If I want to add structure later, I can",interview_02,Lack of Flexibility,neutral
"Only if it could replicate the feeling of paper—the freedom, the tactile satisfaction, the lack of options paralysis",interview_02,Feature Overwhelm,neutral
"Right now, digital tools try to do everything, which means they do nothing particularly well",interview_02,Other,neutral
I'd rather have a tool that does one thing perfectly than tries to be everything to everyone,interview_02,Social Comparison Anxiety,positive
please make something that doesn't make people feel stupid or inadequate,interview_02,Productivity Guilt,neutral
That's the biggest thing,interview_02,Other,neutral
"Productivity tools should empower you, not make you feel worse about yourself",interview_02,Social Comparison Anxiety,neutral
─────────────────────────────────────────────────────────────,interview_02,Other,neutral
"I'm 18 years old, and I'm a college student",interview_03,Other,neutral
I've been trying to get better at managing my tasks and projects,interview_03,Other,positive
"Yeah, I've tried Notion, Microsoft To Do, Asana",interview_03,Tool Hopping Behavior,neutral
"I get really excited at first—like, THIS is going to be the thing that changes everything",interview_03,Other,positive
"I spend the first few days adding all my tasks, color-coding things, setting up reminders",interview_03,Setup Fatigue,neutral
"I don't know, life gets busy, I miss a few days, and when I come back there's this huge list of overdue tasks with red notifications everywhere",interview_03,Productivity Guilt,neutral
"It makes me feel terrible, so I just stop opening the app",interview_03,Productivity Guilt,negative
It's like the app is judging me,interview_03,Productivity Guilt,negative
"I know that sounds silly, but seeing all those incomplete tasks just reminds me that I'm failing",interview_03,Productivity Guilt,negative
And then I feel guilty about abandoning THAT too,interview_03,Productivity Guilt,negative
"So I download the app, create an account, and then",interview_03,Other,neutral
"It's like, 'okay, now what",interview_03,Other,neutral
' I usually end up watching a 30-minute YouTube tutorial just to understand the basics,interview_03,Setup Fatigue,neutral
Then I spend another hour or two trying to recreate what I saw in the video,interview_03,Other,neutral
"By the time I'm done setting it up, I'm mentally exhausted and I haven't actually DONE anything productive yet",interview_03,Other,negative
I'm never sure if I set it up 'correctly,interview_03,Other,neutral
"' Like, am I using the right template",interview_03,Setup Fatigue,neutral
Should I use tags or folders,interview_03,Social Comparison Anxiety,neutral
Should I create separate workspaces for work and personal,interview_03,Context Switching,neutral
"There's no right answer, so I keep second-guessing myself",interview_03,Other,neutral
"Well, then I start using it, and I realize there are all these features I didn't even know existed",interview_03,Feature Overwhelm,neutral
"Pop-ups telling me about databases, templates, integrations, AI features",interview_03,Feature Overwhelm,neutral
"I feel like I should be using all these advanced features to be 'productive,' but I don't even understand what half of them do",interview_03,Feature Overwhelm,neutral
ignore them and stick to basic task lists,interview_03,Other,neutral
Maybe 5-10% of what the tool can do,interview_03,Other,neutral
Which makes me wonder why I'm even using this complex tool when I could just use a simpler one,interview_03,Feature Overwhelm,neutral
"But everyone says these advanced tools are 'better,' so I feel like I should figure them out",interview_03,Social Comparison Anxiety,positive
"I see people on YouTube with these beautiful, organized Notion workspaces tracking every aspect of their lives, and I can't even keep up with a basic task list for more than a week",interview_03,Social Comparison Anxiety,neutral
I start thinking 'what's wrong with me,interview_03,Other,neutral
' It's not just about the tool anymore—it's about feeling like I'm not disciplined enough or organized enough or smart enough to use it properly,interview_03,Other,neutral
Every time I open it and see that list of incomplete tasks—with all the red overdue badges—it's like a visual representation of my failures,interview_03,Productivity Guilt,negative
"And the more tasks pile up, the more paralyzed I feel",interview_03,Other,neutral
"I don't know where to start, so I just",interview_03,Prioritization Difficulty,neutral
And then the guilt gets worse,interview_03,Productivity Guilt,negative
I need something that won't make me feel bad when I fall off the wagon,interview_03,Productivity Guilt,negative
"Like, if I don't use it for three days, don't punish me with scary red notifications",interview_03,Other,neutral
gently welcome me back,interview_03,Other,neutral
"'Hey, want to add one task for today",interview_03,Other,neutral
' Not 'YOU HAVE 15 OVERDUE ITEMS,interview_03,Productivity Guilt,neutral
"Yeah, and also maybe about setting realistic expectations",interview_03,Other,neutral
Don't let me add 30 tasks on day one,interview_03,Other,neutral
Stop me and say 'let's start with three,interview_03,Other,neutral
"' Protect me from myself, you know",interview_03,Other,neutral
"Because I WILL go overboard in the honeymoon phase, and then I'll crash",interview_03,Other,neutral
I need to feel successful fast—like within the first session,interview_03,Other,positive
Not after a week of using it perfectly,interview_03,Other,positive
"If I can add a task and check it off in the first five minutes, and the app celebrates that somehow, I'd be so much more likely to come back tomorrow",interview_03,Other,neutral
please make something that doesn't make people feel stupid or inadequate,interview_03,Productivity Guilt,neutral
That's the biggest thing,interview_03,Other,neutral
"Productivity tools should empower you, not make you feel worse about yourself",interview_03,Social Comparison Anxiety,neutral
─────────────────────────────────────────────────────────────,interview_03,Other,neutral
"I'm 19 years old, and I'm a college student",interview_04,Other,neutral
I've been trying to get better at managing my tasks and projects,interview_04,Other,positive
"Yeah, I've tried Asana, Google Keep, Notion",interview_04,Tool Hopping Behavior,neutral
"I get really excited at first—like, THIS is going to be the thing that changes everything",interview_04,Other,positive
"I spend the first few days adding all my tasks, color-coding things, setting up reminders",interview_04,Setup Fatigue,neutral
"I don't know, life gets busy, I miss a few days, and when I come back there's this huge list of overdue tasks with red notifications everywhere",interview_04,Productivity Guilt,neutral
"It makes me feel terrible, so I just stop opening the app",interview_04,Productivity Guilt,negative
It's like the app is judging me,interview_04,Productivity Guilt,negative
"I know that sounds silly, but seeing all those incomplete tasks just reminds me that I'm failing",interview_04,Productivity Guilt,negative
And then I feel guilty about abandoning THAT too,interview_04,Productivity Guilt,negative
"So I download the app, create an account, and then",interview_04,Other,neutral
"It's like, 'okay, now what",interview_04,Other,neutral
' I usually end up watching a 30-minute YouTube tutorial just to understand the basics,interview_04,Setup Fatigue,neutral
Then I spend another hour or two trying to recreate what I saw in the video,interview_04,Other,neutral
"By the time I'm done setting it up, I'm mentally exhausted and I haven't actually DONE anything productive yet",interview_04,Other,negative
I'm never sure if I set it up 'correctly,interview_04,Other,neutral
"' Like, am I using the right template",interview_04,Setup Fatigue,neutral
Should I use tags or folders,interview_04,Social Comparison Anxiety,neutral
Should I create separate workspaces for work and personal,interview_04,Context Switching,neutral
"There's no right answer, so I keep second-guessing myself",interview_04,Other,neutral
"I see people on YouTube with these beautiful, organized Notion workspaces tracking every aspect of their lives, and I can't even keep up with a basic task list for more than a week",interview_04,Social Comparison Anxiety,neutral
I start thinking 'what's wrong with me,interview_04,Other,neutral
' It's not just about the tool anymore—it's about feeling like I'm not disciplined enough or organized enough or smart enough to use it properly,interview_04,Other,neutral
Every time I open it and see that list of incomplete tasks—with all the red overdue badges—it's like a visual representation of my failures,interview_04,Productivity Guilt,negative
"And the more tasks pile up, the more paralyzed I feel",interview_04,Other,neutral
"I don't know where to start, so I just",interview_04,Prioritization Difficulty,neutral
And then the guilt gets worse,interview_04,Productivity Guilt,negative
I need something that won't make me feel bad when I fall off the wagon,interview_04,Productivity Guilt,negative
"Like, if I don't use it for three days, don't punish me with scary red notifications",interview_04,Other,neutral
gently welcome me back,interview_04,Other,neutral
"'Hey, want to add one task for today",interview_04,Other,neutral
' Not 'YOU HAVE 15 OVERDUE ITEMS,interview_04,Productivity Guilt,neutral
"Yeah, and also maybe about setting realistic expectations",interview_04,Other,neutral
Don't let me add 30 tasks on day one,interview_04,Other,neutral
Stop me and say 'let's start with three,interview_04,Other,neutral
"' Protect me from myself, you know",interview_04,Other,neutral
"Because I WILL go overboard in the honeymoon phase, and then I'll crash",interview_04,Other,neutral
I need to feel successful fast—like within the first session,interview_04,Other,positive
Not after a week of using it perfectly,interview_04,Other,positive
"If I can add a task and check it off in the first five minutes, and the app celebrates that somehow, I'd be so much more likely to come back tomorrow",interview_04,Other,neutral
please make something that doesn't make people feel stupid or inadequate,interview_04,Productivity Guilt,neutral
That's the biggest thing,interview_04,Other,neutral
"Productivity tools should empower you, not make you feel worse about yourself",interview_04,Social Comparison Anxiety,neutral
─────────────────────────────────────────────────────────────,interview_04,Other,neutral
"I'm 23 years old, and I'm a engineering student / young professional",interview_05,Other,neutral
I've been trying to get better at managing my tasks and projects,interview_05,Other,positive
"Oh yes, I've tried so many",interview_05,Tool Hopping Behavior,neutral
"Trello, ClickUp, Microsoft To Do",interview_05,Other,neutral
probably more that I'm forgetting,interview_05,Other,neutral
I'm always looking for the 'perfect' system,interview_05,Tool Hopping Behavior,positive
"I spend hours watching YouTube tutorials and setting things up, but somehow I never stick with any of them for more than a couple weeks",interview_05,Setup Fatigue,neutral
"Like, I spend so much time organizing and reorganizing that I barely get any actual work done",interview_05,Other,neutral
"And then I see all these unfinished tasks piling up, and it feels overwhelming",interview_05,Feature Overwhelm,negative
So I think 'maybe this tool isn't right for me' and I try another one,interview_05,Tool Hopping Behavior,neutral
"I see people on YouTube with these beautiful, organized Notion workspaces tracking every aspect of their lives, and I can't even keep up with a basic task list for more than a week",interview_05,Social Comparison Anxiety,neutral
I start thinking 'what's wrong with me,interview_05,Other,neutral
' It's not just about the tool anymore—it's about feeling like I'm not disciplined enough or organized enough or smart enough to use it properly,interview_05,Other,neutral
Every time I open it and see that list of incomplete tasks—with all the red overdue badges—it's like a visual representation of my failures,interview_05,Productivity Guilt,negative
"And the more tasks pile up, the more paralyzed I feel",interview_05,Other,neutral
"I don't know where to start, so I just",interview_05,Prioritization Difficulty,neutral
And then the guilt gets worse,interview_05,Productivity Guilt,negative
I think I need something that just,interview_05,Other,neutral
"Show me three things to do today, that's it",interview_05,Other,neutral
Don't give me a hundred options until I ask for them,interview_05,Feature Overwhelm,neutral
And maybe guide me through setup instead of throwing me into an empty workspace,interview_05,Setup Fatigue,neutral
"Like, 'here's your first task, let's add it together",interview_05,Other,neutral
' Make it feel less like I'm building a system and more like I'm just getting started,interview_05,Setup Fatigue,neutral
"Start with the absolute basics—just tasks—and then as I use it, maybe introduce ONE new feature at a time",interview_05,Other,neutral
"'Hey, looks like you're using this a lot, would tags help you",interview_05,Other,positive
"The tool should feel like a partner, not a judge",interview_05,Productivity Guilt,negative
"Maybe hide completed tasks by default so I see what I've accomplished, not what I haven't",interview_05,Other,positive
